"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LTINT","TOT","PC_PA","A","2000",5.595,
"PRT","LTINT","TOT","PC_PA","A","2001",5.158333,
"PRT","LTINT","TOT","PC_PA","A","2002",5.005833,
"PRT","LTINT","TOT","PC_PA","A","2003",4.178333,
"PRT","LTINT","TOT","PC_PA","A","2004",4.143333,
"PRT","LTINT","TOT","PC_PA","A","2005",3.4375,
"PRT","LTINT","TOT","PC_PA","A","2006",3.915,
"PRT","LTINT","TOT","PC_PA","A","2007",4.423333,
"PRT","LTINT","TOT","PC_PA","A","2008",4.519166,
"PRT","LTINT","TOT","PC_PA","A","2009",4.210834,
"PRT","LTINT","TOT","PC_PA","A","2010",5.395833,
"PRT","LTINT","TOT","PC_PA","A","2011",10.23917,
"PRT","LTINT","TOT","PC_PA","A","2012",10.5475,
"PRT","LTINT","TOT","PC_PA","A","2013",6.294167,
"PRT","LTINT","TOT","PC_PA","A","2014",3.754167,
"PRT","LTINT","TOT","PC_PA","A","2015",2.423333,
"PRT","LTINT","TOT","PC_PA","A","2016",3.171667,
"PRT","LTINT","TOT","PC_PA","A","2017",3.0525,
"PRT","LTINT","TOT","PC_PA","A","2018",1.839167,
"PRT","LTINT","TOT","PC_PA","A","2019",0.7575,
"PRT","LTINT","TOT","PC_PA","A","2020",0.4166667,
"PRT","LTINT","TOT","PC_PA","A","2021",0.295,
"ITA","LTINT","TOT","PC_PA","A","2000",5.575179,
"ITA","LTINT","TOT","PC_PA","A","2001",5.188787,
"ITA","LTINT","TOT","PC_PA","A","2002",5.034556,
"ITA","LTINT","TOT","PC_PA","A","2003",4.248191,
"ITA","LTINT","TOT","PC_PA","A","2004",4.258675,
"ITA","LTINT","TOT","PC_PA","A","2005",3.555428,
"ITA","LTINT","TOT","PC_PA","A","2006",4.046302,
"ITA","LTINT","TOT","PC_PA","A","2007",4.487259,
"ITA","LTINT","TOT","PC_PA","A","2008",4.681259,
"ITA","LTINT","TOT","PC_PA","A","2009",4.311213,
"ITA","LTINT","TOT","PC_PA","A","2010",4.03587,
"ITA","LTINT","TOT","PC_PA","A","2011",5.422752,
"ITA","LTINT","TOT","PC_PA","A","2012",5.492676,
"ITA","LTINT","TOT","PC_PA","A","2013",4.316386,
"ITA","LTINT","TOT","PC_PA","A","2014",2.893183,
"ITA","LTINT","TOT","PC_PA","A","2015",1.713968,
"ITA","LTINT","TOT","PC_PA","A","2016",1.486547,
"ITA","LTINT","TOT","PC_PA","A","2017",2.113012,
"ITA","LTINT","TOT","PC_PA","A","2018",2.610345,
"ITA","LTINT","TOT","PC_PA","A","2019",1.951412,
"ITA","LTINT","TOT","PC_PA","A","2020",1.168292,
"ITA","LTINT","TOT","PC_PA","A","2021",0.81083,
"SVK","LTINT","TOT","PC_PA","A","2001",8.043349,
"SVK","LTINT","TOT","PC_PA","A","2002",6.934373,
"SVK","LTINT","TOT","PC_PA","A","2003",4.985866,
"SVK","LTINT","TOT","PC_PA","A","2004",5.026144,
"SVK","LTINT","TOT","PC_PA","A","2005",3.52158,
"SVK","LTINT","TOT","PC_PA","A","2006",4.412181,
"SVK","LTINT","TOT","PC_PA","A","2007",4.490726,
"SVK","LTINT","TOT","PC_PA","A","2008",4.723183,
"SVK","LTINT","TOT","PC_PA","A","2009",4.706512,
"SVK","LTINT","TOT","PC_PA","A","2010",3.871647,
"SVK","LTINT","TOT","PC_PA","A","2011",4.448205,
"SVK","LTINT","TOT","PC_PA","A","2012",4.553231,
"SVK","LTINT","TOT","PC_PA","A","2013",3.186377,
"SVK","LTINT","TOT","PC_PA","A","2014",2.071702,
"SVK","LTINT","TOT","PC_PA","A","2015",0.88525,
"SVK","LTINT","TOT","PC_PA","A","2016",0.5444093,
"SVK","LTINT","TOT","PC_PA","A","2017",0.9153607,
"SVK","LTINT","TOT","PC_PA","A","2018",0.885511,
"SVK","LTINT","TOT","PC_PA","A","2019",0.2463108,
"SVK","LTINT","TOT","PC_PA","A","2020",-0.03828775,
"SVK","LTINT","TOT","PC_PA","A","2021",-0.08023517,
"GRC","LTINT","TOT","PC_PA","A","2000",6.108333,
"GRC","LTINT","TOT","PC_PA","A","2001",5.304167,
"GRC","LTINT","TOT","PC_PA","A","2002",5.1225,
"GRC","LTINT","TOT","PC_PA","A","2003",4.2675,
"GRC","LTINT","TOT","PC_PA","A","2004",4.255833,
"GRC","LTINT","TOT","PC_PA","A","2005",3.585,
"GRC","LTINT","TOT","PC_PA","A","2006",4.07,
"GRC","LTINT","TOT","PC_PA","A","2007",4.5,
"GRC","LTINT","TOT","PC_PA","A","2008",4.8025,
"GRC","LTINT","TOT","PC_PA","A","2009",5.174167,
"GRC","LTINT","TOT","PC_PA","A","2010",9.091666,
